week_start,sku,warehouse_code,demand_type,qty
2025-03-03,SKU001,WH1,CUSTOMER,30
2025-03-03,SKU001,WH1,SAMPLES,5
2025-03-03,SKU002,WH1,CUSTOMER,20
2025-03-03,SKU003,WH2,CUSTOMER,50
2025-03-03,SKU004,WH2,CUSTOMER,40
2025-03-10,SKU001,WH1,CUSTOMER,35
2025-03-10,SKU002,WH1,CUSTOMER,22
2025-03-10,SKU003,WH2,CUSTOMER,55
2025-03-10,SKU004,WH2,CUSTOMER,42
2025-03-17,SKU001,WH1,CUSTOMER,28
2025-03-17,SKU002,WH1,SAMPLES,2
2025-03-17,SKU003,WH2,CUSTOMER,52
2025-03-17,SKU004,WH2,SAMPLES,3
2025-03-24,SKU001,WH1,CUSTOMER,32
2025-03-24,SKU002,WH1,CUSTOMER,25
2025-03-24,SKU003,WH2,CUSTOMER,60
2025-03-24,SKU004,WH2,CUSTOMER,45
2025-03-31,SKU001,WH1,CUSTOMER,40
2025-03-31,SKU002,WH1,CUSTOMER,28
2025-03-31,SKU003,WH2,SAMPLES,10
2025-03-31,SKU004,WH2,CUSTOMER,48
2025-04-07,SKU001,WH1,CUSTOMER,38
2025-04-07,SKU002,WH1,CUSTOMER,30
2025-04-07,SKU003,WH2,CUSTOMER,65
2025-04-07,SKU004,WH2,CUSTOMER,50
2025-04-14,SKU001,WH1,SAMPLES,10
2025-04-14,SKU002,WH1,CUSTOMER,28
2025-04-14,SKU003,WH2,CUSTOMER,62
2025-04-14,SKU004,WH2,SAMPLES,5
2025-04-21,SKU001,WH1,CUSTOMER,45
2025-04-21,SKU002,WH1,CUSTOMER,33
2025-04-21,SKU003,WH2,CUSTOMER,70
2025-04-21,SKU004,WH2,CUSTOMER,52
2025-04-28,SKU001,WH1,CUSTOMER,42
2025-04-28,SKU002,WH1,CUSTOMER,35
2025-04-28,SKU003,WH2,CUSTOMER,68
2025-04-28,SKU004,WH2,CUSTOMER,55
2025-05-05,SKU001,WH1,CUSTOMER,50
2025-05-05,SKU002,WH1,SAMPLES,5
2025-05-05,SKU003,WH2,CUSTOMER,75
2025-05-05,SKU004,WH2,CUSTOMER,60
2025-05-12,SKU001,WH1,CUSTOMER,48
2025-05-12,SKU002,WH1,CUSTOMER,40
2025-05-12,SKU003,WH2,CUSTOMER,72
2025-05-12,SKU004,WH2,CUSTOMER,58
2025-05-19,SKU001,WH1,CUSTOMER,55
2025-05-19,SKU002,WH1,CUSTOMER,42
2025-05-19,SKU003,WH2,SAMPLES,15
2025-05-19,SKU004,WH2,CUSTOMER,62
2025-05-26,SKU001,WH1,SAMPLES,15
2025-05-26,SKU002,WH1,CUSTOMER,45
2025-05-26,SKU003,WH2,CUSTOMER,80
2025-05-26,SKU004,WH2,CUSTOMER,65
2025-06-02,SKU001,WH1,CUSTOMER,60
2025-06-02,SKU002,WH1,CUSTOMER,50
2025-06-02,SKU003,WH2,CUSTOMER,85
2025-06-02,SKU004,WH2,SAMPLES,10
2025-06-09,SKU001,WH1,CUSTOMER,58
2025-06-09,SKU002,WH1,SAMPLES,8
2025-06-09,SKU003,WH2,CUSTOMER,82
2025-06-09,SKU004,WH2,CUSTOMER,68
2025-06-16,SKU001,WH1,CUSTOMER,62
2025-06-16,SKU002,WH1,CUSTOMER,55
2025-06-16,SKU003,WH2,CUSTOMER,90
2025-06-16,SKU004,WH2,CUSTOMER,70
2025-06-23,SKU001,WH1,CUSTOMER,65
2025-06-23,SKU002,WH1,CUSTOMER,58
2025-06-23,SKU003,WH2,SAMPLES,20
2025-06-23,SKU004,WH2,CUSTOMER,72
2025-06-30,SKU001,WH1,SAMPLES,12
2025-06-30,SKU002,WH1,CUSTOMER,60
2025-06-30,SKU003,WH2,CUSTOMER,95
2025-06-30,SKU004,WH2,CUSTOMER,75
