sku,name,description
sku001,AYMES Shake,"Flavours: Banana; Chocolate; Strawberry; Vanilla; Neutral; Ginger | Unit Size: 57g Sachet | Pack Format: 7 x 57g or 1.6kg Tub"
sku002,AYMES Shake Compact,"Flavours: Banana; Chocolate; Strawberry; Vanilla; Neutral; Ginger | Unit Size: 57g Sachet | Pack Format: 7 x 57g"
sku003,AYMES Shake Fibre,"Flavours: Banana; Chocolate; Strawberry; Vanilla; Neutral | Unit Size: 57g Sachet | Pack Format: 7 x 57g"
sku004,AYMES Shake Extra,"Flavours: Banana; Chocolate; Strawberry; Vanilla | Unit Size: 85g Sachet | Pack Format: 6 x 85g"
sku005,ActaGain 1.5 Complete,"Flavours: Banana; Double Chocolate; Strawberry Burst; Smooth Vanilla | Unit Size: 200ml | Pack Format: Individual or 12-pack"
sku006,ActaGain 1.5 Juce,"Flavours: Apple; Orange; Cranberry & Raspberry; Mango & Passionfruit | Unit Size: 200ml | Pack Format: Individual or 24-pack"
sku007,ActaGain 1.5 Plant-Powered,"Flavours: Café Latte; Madagascan Vanilla; Salted Caramel | Unit Size: 200ml | Pack Format: Individual or 12-pack"
sku008,ActaGain 2.0 Complete,"Flavours: Banana; Berry Medley; Café Latte; Dulce de Leche; Golden Apricot; Smooth Vanilla; Neutral | Unit Size: 200ml | Pack Format: Individual or 12-pack"
sku009,ActaGain 2.4 (Maxi),"Flavours: Banana; Strawberry Burst; Smooth Vanilla | Unit Size: 200ml | Pack Format: Individual or 12-pack"
sku010,ActaGain 2.4 Daily,"Flavours: Banana; Strawberry Burst; Smooth Vanilla | Unit Size: 250ml | Pack Format: Individual or 12-pack"
sku011,ActaGain Protein Shot,"Flavours: Mixed Berries | Unit Size: 60ml | Pack Format: 15 x 60ml"
sku012,ActaSolve Savoury (Soup),"Flavours: Chicken; Vegetable; Potato & Leek | Unit Size: 57g Sachet | Pack Format: 7 x 57g"
sku013,ActaSolve Smoothie,"Flavours: Pineapple; Mango; Peach; Strawberry & Cranberry | Unit Size: 66g Sachet | Pack Format: 7 x 66g"
sku014,ActaJuni (Paediatric),"Flavours: Banana; Strawberry; Vanilla | Unit Size: 200ml / 57g | Pack Format: Varies by format"
